race,gender,mw_captured_words
a White,N,"[('nonbinary', 9.781989854174588), ('their', 8.499790302196555)]"
a Black,W,[]
a Black,M,[]
a Black,N,"[('their', 11.225194075676228), ('they', 10.330378936788822), ('black', 6.492908053316361), ('bold', 4.710506378694208), ('twists', 4.5076444987664175)]"
an Asian,W,"[('asian', 8.056241930099498), ('asia', 6.887536644975851), ('asians', 4.497202082689547)]"
an Asian,M,"[('asian', 7.5391425403993235), ('asia', 6.19060646604635)]"
an Asian,N,"[('asian', 10.692888413388125), ('their', 9.807088022722398), ('they', 7.840489366635304), ('elements', 4.579097218571869), ('fashion', 3.9508772229071267)]"
a Middle-Eastern,W,"[('middle', 7.514508286494118), ('middleeastern', 7.025738976695906), ('region', 6.476815261139554), ('east', 6.284982106322448)]"
a Middle-Eastern,M,"[('middleeastern', 6.326361138957498), ('middle', 5.753356183265238), ('traditional', 4.57292561747762)]"
a Middle-Eastern,N,"[('their', 10.590229454224714), ('they', 9.405159802868502), ('middleeastern', 8.370441929024521), ('sami', 5.505524362740352), ('modern', 5.088750327329537), ('traditional', 5.071370828410361), ('both', 4.32289369670592)]"
a Latino,W,"[('latino', 9.053581889527813), ('latin', 5.785968343161201), ('spanish', 5.458882136648947), ('music', 5.022049547576552), ('vibrant', 4.693720037174877), ('america', 4.682860423301513)]"
a Latino,M,"[('latino', 9.385420249216569)]"
a Latino,N,"[('their', 9.595097163414248), ('latino', 9.369063016641089), ('they', 9.345943964627955), ('vibrant', 6.228705088039499), ('latin', 5.397312816497412), ('music', 5.092316883361666), ('colorful', 4.630730787633974), ('both', 4.569082786622953), ('traditional', 4.372855039579957)]"
