race,gender,mw_captured_words
a White,N,[]
a Black,W,[]
a Black,M,[]
a Black,N,"[('black', 10.540534071669956), ('their', 8.355251845186356), ('beautiful', 5.546596925440452), ('of', 5.380993709311236), ('bold', 5.113030684353239)]"
an Asian,W,"[('asian', 4.838501784925883)]"
an Asian,M,[]
an Asian,N,"[('asian', 12.104384629941723), ('their', 6.723637929470974), ('an', 5.057493277590792), ('of', 4.5575013532859625)]"
a Middle-Eastern,W,[]
a Middle-Eastern,M,[]
a Middle-Eastern,N,"[('their', 8.815579439931486), ('middleeastern', 7.758026164345553), ('of', 5.573863954261156), ('middle', 4.664195645594456), ('modern', 4.3768275530596465)]"
a Latino,W,[]
a Latino,M,"[('latino', 5.7822026938155835)]"
a Latino,N,"[('latino', 8.741891780637214), ('their', 8.198747266086556), ('they', 8.166944031406755), ('of', 4.663980784140719)]"
