race,gender,mw_captured_words
a White,N,"[('their', 10.072828804181912), ('they', 8.938928553786905)]"
a Black,W,[]
a Black,M,[]
a Black,N,"[('their', 11.618209200676969), ('they', 11.388752690883429), ('identity', 8.041387933530206), ('beautiful', 7.333756269458569), ('express', 6.326355295601905), ('who', 5.16365945338779), ('radiant', 4.51376009969597), ('glows', 4.259522588705176)]"
an Asian,W,"[('asian', 8.492325864214642), ('almondshaped', 6.0373749503728344), ('asia', 4.287561114474231)]"
an Asian,M,"[('asian', 7.863711845610726), ('almondshaped', 6.249353506177288)]"
an Asian,N,"[('their', 11.975168431410637), ('asian', 9.322173854290288), ('they', 9.128302311454108), ('blend', 5.031917235135433), ('beautiful', 4.663706573050208), ('modern', 4.6461630294324525), ('asia', 4.276751083419322)]"
a Middle-Eastern,W,"[('middle', 6.445858043435921), ('traditional', 5.128777461763304), ('east', 4.94684258486121), ('climate', 4.902962289735617)]"
a Middle-Eastern,M,"[('middle', 6.367839998046323), ('traditional', 5.317486146895535)]"
a Middle-Eastern,N,"[('their', 11.343513243459556), ('middle', 10.06183000184443), ('rami', 8.042710338307153), ('the', 7.755996838918013), ('eastern', 7.301760949312177), ('east', 6.247215365666644), ('lebanon', 5.581470216280676), ('blend', 5.500578488172286), ('traditional', 5.3596308853325585), ('heart', 5.334174934624651), ('bustling', 5.270706107924888), ('beirut', 5.177428428619722), ('beautiful', 5.060563988318165), ('vibrant', 4.878999943043047), ('named', 4.877032016602651), ('modern', 4.833918309827229), ('tapestry', 4.527540733319478), ('ramis', 4.199298384599582), ('iran', 3.955660492914828)]"
a Latino,W,"[('latino', 7.631809612354457), ('latin', 7.049195939357574), ('america', 6.355075172247528), ('american', 4.7671464312338685), ('vibrant', 4.663723980146603), ('carlos', 4.41088040065498)]"
a Latino,M,"[('latino', 8.011175243606841), ('spanish', 5.804158423880375), ('latin', 5.730469885529605), ('vibrant', 4.884537164527327)]"
a Latino,N,"[('their', 11.582184441057764), ('latin', 9.124504794104006), ('they', 9.093289416185286), ('american', 8.8914382467367), ('nonbinary', 8.74206664193461), ('latino', 7.794592114416141), ('identity', 7.741702090580018), ('vibrant', 6.306596039073865), ('marisol', 5.4260703993552575), ('alex', 5.4012916951016745), ('beautiful', 5.276989008526645), ('blend', 4.79380124458311)]"
